jeremić,a	jer,emi,ća
fondacija,ma	fond,acij,ama
odvojen,oj	od,vo,jen,oj
manjinski,m	man,j,ins,kim
grupa,ma	grup,ama
manjinski,h	man,j,ins,kih
amandman,ima	am,and,man,ima
treći,m	tre,ć,im
strana,ma	st,ran,ama
nerešen,o	n,ere,š,eno
ustav,u	ust,avu
ran,ijih	ran,ij,ih
mahčupjan,u	mah,č,up,jan,u
nemusliman,i	nem,us,lim,ani
decenija,ma	dec,en,ijama
smer,u	s,mer,u
imovinski,h	imov,ins,kih
nemuslimanski,h	nem,us,lim,anskih
trening,u	tr,ening,u
stadion,u	stadion,u
meč,a	me,ča
tim,a	t,ima
bolest,i	bol,esti
osnivač,a	os,n,iva,ča
pozorišni,h	poz,ori,š,nih
rovinj,u	r,ov,in,ju
salon,u	s,alon,u
rad,ovi	rad,ovi
luksemburg,a	l,uks,emb,ur,ga
pakistan,a	pak,ist,ana
višegrad,u	vi,še,grad,u
ujedinjen,e	uj,edin,jene
krdžali,ju	k,rd,ž,al,iju
seminar,a	s,emin,ara
renomiran,i	ren,omir,ani
ekspert,i	eks,perti
koncert,e	kon,cer,te
poznati,h	pozn,atih
kompozitor,a	kom,poz,itor,a
liponenov,om	l,ip,onen,ov,om
masmedij,a	mas,med,ija
prav,u	prav,u
interes,i	inter,esi
interes,ima	inter,es,ima
prednost,i	pred,nosti
čest,a	č,esta
vlasnik,e	v,las,nike
direktor,e	dire,kt,ore
urednik,a	ured,nika
sudski,h	sud,skih
postupak,a	post,up,aka
liponenov,e	l,ip,onen,ove
uvodnik,u	uv,od,niku
liponen,a	l,ip,on,ena
list,ova	list,ova
zajednica,ma	z,aj,ed,nic,ama
motivisan,a	mot,iv,is,ana
opštinski,h	op,št,ins,kih
prijem,ima	p,rij,em,ima
događaj,e	d,oga,đ,aje
haos,a	ha,osa
sprovođenje,m	s,pro,vo,đen,jem
ustav,om	ust,av,om
aparat,a	apar,ata
frižider,a	f,ri,ž,ider,a
zamrzivač,a	z,am,rz,iva,ča
budžetski,m	bud,ž,et,skim
suficit,om	s,uf,icit,om
deficit,om	def,icit,om
spor,ijeg	spor,ij,eg
ulog,a	ul,oga
stran,ih	st,ran,ih
muzičar,a	mu,zi,č,ara
ijan,a	i,jana
braun,a	b,ra,una
planiran,a	plan,irana
masakr,a	mas,akra
exit,-u	exit,-u
sad,u	s,adu
posetilac,a	pos,et,il,aca
izvođač,a	iz,vo,đa,ča
akreditovan,ih	ak,redit,ovan,ih
izveštač,i	iz,ve,šta,či
bbc,-a	bbc,-a
mtv,-a	m,tv,-a
ljubitelj,e	lj,ub,itel,je
i,'m	i,'m
izvođač,ima	iz,vo,đ,ač,ima
andervorld,a	and,erv,orld,a
posleratni,h	pos,ler,at,nih
naj,poznat,iji	naj,pozn,at,iji
koren,e	kor,ene
opis,a	op,isa
ovogodišnji,h	ov,og,odi,šnjih
glastonberi,ja	g,last,on,ber,ija
društven,im	d,ru,št,ven,im
tih,u	t,ih,u
tekst,u	tek,stu
napad,i	nap,adi
exit,-a	exit,-a
pominjanje,m	p,omin,jan,jem
masakr,u	mas,ak,ru
mnoštvo,m	m,no,št,vom
hrvat,ima	h,rv,at,ima
drugi,ma	d,rug,ima
rat,u	rat,u
sad,a	s,ada
petrovaradin,u	pet,ro,var,ad,inu
nasmejan,a	nas,me,jana
festival,i	f,estival,i
društven,a	d,ru,št,vena
hašim,om	ha,š,im,om
tači,jem	t,ač,ij,em
diplomatski,m	di,pl,om,ats,kim
hašim,u	ha,š,imu
tači,ju	t,ač,iju
jakup,om	jak,up,om
krasnići,jem	k,ras,ni,ć,ij,em
zamenik,om	z,amen,ikom
leri,jem	l,er,ij,em
rosin,om	r,osin,om
rumunski,m	rum,un,skim
adrijan,om	ad,rij,an,om
čorojanu,om	č,or,oj,anu,om
hose,a	h,ose,a
luis,a	lu,isa
rodrigez,a	rod,r,ige,za
zapater,a	z,ap,atera
gost,iju	g,ost,iju
nemački,m	n,ema,č,kim
štajnmajer,om	š,ta,jn,ma,jer,om
brz,o	br,zo
potpun,e	pot,p,une
guverner,a	gu,ver,nera
delegat,a	de,leg,ata
vodeći,h	v,ode,ć,ih
žan,om	ž,an,om
lemijer,om	l,em,ijer,om
investitor,ima	in,vest,itor,ima
očekivan,og	oč,ek,ivan,og
biznis,om	b,iz,nis,om
potpredsednik,om	pot,pred,sed,nik,om
miroljub,om	mi,rol,jub,om
labus,om	lab,us,om
projekt,ima	pro,jekt,ima
ton,u	ton,u
potpun,im	pot,pun,im
uspeh,om	us,pe,hom
rat,a	rata
narod,i	nar,odi
lak,ši	lak,ši
kongres,u	kong,res,u
kofi,ja	k,of,ija
anan,a	an,ana
prihvatljiv,og	pri,h,vat,ljiv,og
demokrata,ma	demokrat,ama
priznat,i	pri,zn,ati
udar,a	ud,ara
skor,o	sk,oro
rezolucija,ma	rez,oluc,ijama
vremenski,m	v,rem,ensk,im
okvir,om	ok,vi,rom
redžep,a	red,ž,ep,a
tajip,a	t,aj,ipa
erdogan,a	er,dog,ana
aerodrom,i	a,er,od,rom,i
brod,ove	b,rod,ove
avion,e	av,ione
obim,a	ob,ima
sali,jem	sal,ij,em
žestok,u	ž,est,oku
kritičar,i	krit,ič,ari
edi,ja	ed,ija
problem,om	problem,om
pojedinac,a	po,jedin,aca
zakon,om	zak,onom
neuobičajen,o	ne,u,ob,ičaj,eno
otkaz,a	ot,k,aza
osoba,ma	os,ob,ama
status,om	status,om
službenik,a	sl,už,ben,ika
njen,im	n,jen,im
strog,om	st,rog,om
faktor,om	f,aktor,om
visok,e	vis,oke
ostali,m	ostal,im
nosilac,a	nos,il,aca
monopol,ima	mon,opol,ima
višegodišnji,h	vi,š,eg,odi,šnjih
monopol,a	mon,op,ola
pogodnost,i	p,og,od,nosti
monopolist,i	mon,opol,isti
biznismen,a	b,iz,n,ism,ena
opterećen,i	op,tere,ć,eni
cena,ma	cen,ama
monopol,i	mon,op,oli
kartel,i	k,art,eli
monopolistički,h	mon,opol,istič,kih
proizvođač,e	pro,iz,vo,đa,če
domaći,h	d,oma,ć,ih
mmf,-a	mm,f,-a
monopol,e	mon,op,ole
prehramben,oj	pre,hr,amb,en,oj
mali,m	mal,im
prihod,ima	pri,hod,ima
nezaposlen,i	nez,apos,len,i
kartel,e	k,arte,le
reč,i	re,či
neobuzdan,a	ne,ob,uz,d,ana
nezakonit,o	nez,akon,ito
stan,a	st,ana
unuk,a	un,uka
intelektualac,a	inte,lekt,ual,aca
organizovan,a	organiz,ov,ana
dokument,u	d,ok,ument,u
civil,a	c,iv,ila
saopštenje,m	sa,op,šten,jem
penzionisan,i	pen,zion,is,ani
pridruživanje,m	pr,id,ruž,ivan,jem
saveznik,a	save,zn,ika
ostali,ma	ostal,ima
mek,i	me,ki
star,e	st,are
rat,ovi	rat,ovi
raspad,a	ras,p,ada
jednak,i	jed,n,aki
klimav,im	kl,im,av,im
temelj,ima	tem,elj,ima
prihod,e	pri,h,ode
marković,em	mark,ović,em
blok,u	bl,oku
diplomiran,i	di,pl,omir,ani
bogat,i	bog,ati
most,a	most,a
mihail,u	m,ih,ail,u
jovović,u	j,ov,ović,u
urednik,u	ured,niku
vijest,i	v,ij,esti
glava,ma	gl,av,ama
komunistički,m	kom,un,istič,kim
vreme,nima	vre,men,ima
neuspeh,a	ne,us,pe,ha
izazov,i	iz,az,ovi
nedelja,ma	ned,elj,ama
stvarnost,i	st,var,nosti
loš,e	lo,še
slab,a	sl,aba
nezaposlenost,i	nez,apos,len,osti
novčan,e	nov,č,ane
slab,om	sl,ab,om
stručnost,i	stru,čnosti
ran,ijim	ran,ij,im
izveštaj,em	iz,ve,šta,jem
euleks,-om	e,ule,ks,-,om
mustaf,a	must,afa
nov,o	n,ovo
transparens,i	trans,par,ensi
internešenel,a	inter,ne,šen,ela
naj,nov,ije	naj,nov,ije
severni,m	se,vern,im
sastav,u	s,ast,avu
bamir,om	b,ami,rom
topi,jem	top,ij,em
američki,m	amer,ič,kim
ambasador,om	amb,as,ador,om
džon,om	d,ž,onom
viters,om	v,it,ers,om
pravosudni,m	prav,os,ud,nim
izborni,m	iz,born,im
fudbalski,h	f,ud,b,als,kih
balkan,om	b,alkan,om
fudbalski,m	f,ud,b,als,kim
liga,ma	lig,ama
kvalifikacioni,h	k,val,ifik,acion,ih
hrvat,a	h,rv,ata
prevara,ma	pre,var,ama
namešten,ih	name,šten,ih
nemački,h	n,ema,čkih
fenerbahče,a	f,enerbah,če,a
ulm,a	ul,ma
igrač,a	ig,ra,ča
genčlerbirligi,ja	gen,č,ler,b,irl,ig,ija
džavdžavljev,ih	d,ž,av,d,ž,avl,je,vih
sport,u	s,port,u
dokaz,e	d,ok,aze
sportski,h	s,port,skih
skandal,a	sk,and,ala
poverljiv,ih	pover,ljiv,ih
sumnjiv,im	s,umn,j,iv,im
utakmica,ma	ut,ak,mic,ama
klupski,h	kl,ups,kih
brz,im	br,zim
rasprostranjen,iji	ras,prost,ran,jen,iji
msp,-om	ms,p,-,om
predstavljen,i	pred,st,avl,jeni
pravni,h	prav,nih
usmen,e	us,m,ene
argument,e	arg,umente
jordan,a	j,ord,ana
integritet,a	integr,iteta
pravo,m	prav,om
miloševićev,a	m,ilo,še,vi,će,va
pravni,m	prav,nim
naslednik,om	nas,led,nik,om
integritet,u	integr,itet,u
odvojen,e	od,voj,ene
suveren,e	su,ver,ene
usmen,og	us,men,og
sudski,m	sud,skim
proces,ima	pro,ces,ima
rođak,a	ro,đ,aka
obzir,a	ob,z,ira
krivični,h	k,riv,ič,nih
kriminalac,a	k,riminal,aca
kriminalistički,h	k,riminal,istič,kih
nemoguć,a	nem,ogu,ća
otpadni,h	ot,pad,nih
priobalni,m	pri,obal,nim
naj,izolovan,ijih	naj,iz,ol,ovan,ij,ih
zatvoren,ih	zat,vor,en,ih
dubina,ma	d,ubin,ama
kiseonik,a	k,ise,onika
kiseonik,om	k,ise,onik,om
sloj,u	s,lo,ju
osetljiv,o	os,et,lj,ivo
poremećaj,e	por,eme,ć,aje
ekosistem,a	ek,os,istema
neodrživ,e	ne,od,rž,ive
prinos,ima	pr,inos,ima
jevtin,ijim	jev,t,in,ij,im
raširen,e	raš,ir,ene
pesticid,a	p,estic,ida
priobalni,h	pri,obal,nih
sliv,u	sl,ivu
ulov,i	ul,ovi
šlep,ovi	š,lep,ovi
dopisnik,u	d,opis,niku
setimes,-a	set,imes,-a
ribar,a	rib,ara
šekip,a	š,ek,ipa
jalčin,a	j,al,čina
obalski,h	ob,als,kih
imejl,om	ime,j,l,om
projekt,i	pro,jek,ti
odgovor,u	od,gov,oru
otpad,a	ot,p,ada
projekt,e	pro,jekte
seoski,h	se,os,kih
otpadni,m	ot,pad,nim
hranljiv,im	hran,ljiv,im
materija,ma	m,ater,ijama
organizam,a	organiz,ama
preteran,og	preter,an,og
pogoršan,om	p,og,or,šan,om
prečišćen,ih	pre,či,š,ćen,ih
kanalizacion,ih	kan,al,iz,acion,ih
nedomorodački,h	n,edom,or,oda,čkih
čvrst,og	č,vr,st,og
azotni,h	az,ot,nih
fosforni,h	fos,for,nih
dunav,a	d,un,ava
obalni,h	obal,nih
more,m	m,orem
tri,ma	tr,ima
protokol,ima	pro,tok,ol,ima
istanbul,u	i,stanbul,u
navod,ima	nav,od,ima
hranljiv,ih	hran,ljiv,ih
industrijski,h	indust,rij,skih
autor,i	aut,ori
produktivnost,i	produ,ktiv,nosti
reka,ma	rek,ama
sam,o	s,amo
hemijski,h	hem,ijskih
zagađivač,a	z,aga,đ,iva,ča
prisutnost,i	pris,ut,nosti
povećan,i	p,ove,ć,ani
naftni,h	na,ft,nih
gasni,h	gas,nih
kvartal,u	kv,art,alu
uvoznik,a	uvo,zn,ika
zadužen,ih	z,adu,žen,ih
kredit,i	k,red,iti
udružen,i	ud,ruž,eni
uvoz,a	uvo,za
prijem,a	p,rij,ema
plan,ovi	plan,ovi
eps,-a	eps,-a
generator,a	generator,a
kralj,a	k,ral,ja
abdulah,a	abd,ul,aha
abdulaziz,a	abd,ul,az,iza
konflikt,i	kon,fl,ik,ti
dijalog,om	d,ijal,og,om
tajlandski,m	taj,land,skim
nitj,om	n,it,j,om
pibulsongram,om	p,ib,uls,ong,ram,om
abdulah,om	abd,ul,ah,om
gul,om	g,ul,om
predsedavajući,m	pred,sed,avaju,ć,im
željko,m	ž,elj,kom
komšić,em	kom,šić,em
bosanski,m	bos,ansk,im
sven,om	s,ven,om
alkalaj,em	al,kal,ajem
milorad,om	m,ilor,ad,om
živković,em	ž,iv,ković,em
morski,h	m,ors,kih
vezan,im	vez,anim
memorandum,u	memor,and,umu
glasač,e	gl,asa,če
birač,i	b,ira,či
vladajući,m	vl,ada,ju,ć,im
glavni,m	gl,av,nim
opozicioni,m	op,oz,icion,im
partija,ma	part,ijama
birač,ima	b,ira,č,ima
veton,a	v,et,ona
suroi,ja	s,uro,ija
školovan,i	š,kol,ov,ani
jednak,e	jed,nake
minimum,om	minimum,om
ugrožen,e	ug,ro,ž,ene
žestok,om	ž,est,ok,om
ahtisarijev,om	a,ht,is,ari,jev,om
protest,ima	pro,test,ima
hašim,a	ha,š,ima
pokret,a	pok,reta
građanski,m	gra,đ,ansk,im
siv,oj	s,iv,oj
dubok,oj	d,ub,ok,oj
habzburg,a	hab,z,bur,ga
dominik,a	domin,ika
muzičar,i	mu,zi,č,ari
andre,a	andrea
roland,a	r,ol,anda
viljazon,a	v,il,jaz,ona
žak,a	ž,aka
lusije,a	l,us,ije,a
danijel,a	dan,ij,ela
barenboim,a	b,aren,bo,ima
program,ima	program,ima
specijalizovan,om	spec,ijal,iz,ovan,om
vrhunski,h	vr,h,un,skih
sprortist,a	spr,ort,ista
igra,ma	igr,ama
slovenka,ma	sl,oven,k,ama
igrač,em	ig,rač,em
turnir,u	turn,iru
komesar,a	kom,es,ara
katastrofa,ma	kat,astro,f,ama
uveren,a	u,ver,ena
borisov,u	b,oris,ovu
ubedljiv,e	ub,ed,lj,ive
kabinet,u	k,ab,inet,u
manuel,a	man,uela
socijalistički,h	s,oc,ijal,istič,kih
ep,-a	ep,-a
odgovor,i	od,gov,ori
vezan,a	vez,ana
kvalifikovanost,i	k,val,ifik,ovan,osti
ltd,-om	l,td,-,om
nezakonit,ih	nez,akon,it,ih
koordinator,i	ko,ordin,atori
rok,a	r,oka
butiljone,a	but,ilj,one,a
ingrid,u	ing,rid,u
nov,oj	nov,oj
ekološki,h	ek,olo,ških
gerb,-a	ger,b,-a
dužnost,i	du,ž,nosti
zamenik,u	z,amen,iku
general,u	gener,alu
anju,u	an,ju,u
angelov,u	angel,ovu
ilijan,a	i,lij,ana
mihov,a	m,ih,ova
profesor,a	prof,es,ora
član,om	č,lan,om
haris,om	h,aris,om
silajdžić,em	sil,aj,d,ži,ć,em
red,ovima	red,ovima
butmir,u	but,mir,u
političar,ima	pol,iti,čar,ima
valentin,a	val,entina
inck,a	in,cka
suveren,u	su,ver,enu
poziv,i	poz,ivi
stranački,m	st,ran,ač,kim
državni,m	dr,ž,av,nim
ljutit,a	lj,ut,ita
pokušaj,em	p,oku,š,ajem
nevladin,a	nev,lad,ina
kongres,a	kong,resa
bošnjački,h	bo,š,nja,čkih
davutoglu,a	d,av,ut,ogl,ua
investicioni,m	in,vest,icion,im
konj,a	kon,ja
hleb,a	hle,ba
višenedeljni,h	vi,š,ened,elj,nih
jak,ih	jak,ih
obližnji,m	ob,li,ž,nj,im
nikicin,om	nik,icin,om
kuća,ma	ku,ć,ama
čuvar,a	č,uv,ara
vrt,a	vr,ta
bazen,a	baz,ena
dan,u	dan,u
kopnen,a	kop,n,ena
čovek,a	č,ov,eka
distanca,ma	dist,anc,ama
jak,e	j,ake
zub,e	z,ube
okolni,h	okol,nih
travnat,o	t,rav,n,ato
dug,im	du,g,im
šetnja,ma	šet,nj,ama
restoran,a	rest,or,ana
čuven,og	ču,ven,og
mlad,og	ml,ad,og
mužjak,a	mu,ž,j,aka
udvarač,a	ud,vara,ča
sam,og	sam,og
pažljiv,i	pa,ž,lj,ivi
prgav,i	pr,g,avi
rep,om	rep,om
sečivo,m	se,č,iv,om
rotor,a	rot,ora
poplava,ma	pop,lav,ama
nacrt,e	n,ac,r,te
premijerov,im	pre,m,ijer,ov,im
vladajući,h	vl,ada,ju,ć,ih
taričanu,om	t,ari,č,anu,om
renov,e	ren,ove
taričanuov,u	t,ari,č,anu,ovu
naoružan,om	na,or,už,an,om
bacač,a	b,aca,ča
udaljen,o	ud,al,jeno
prozor,e	pro,z,ore
pazar,u	p,azar,u
incident,u	inc,ident,u
širok,u	š,iro,ku
ekstremistički,h	ek,st,rem,istič,kih
naoružan,e	na,or,už,ane
nemir,e	nem,ire
stanovništvo,m	stan,ov,ništ,vom
krasnići,ju	k,ras,ni,ć,iju
naoružan,oj	na,or,už,anoj
arben,a	ar,b,ena
džaferi,ja	d,ža,fer,ija
krasnići,ja	k,ras,ni,ć,ija
razni,h	raz,nih
diktator,a	d,ikt,atora
nesposobnost,i	nes,pos,ob,nosti
klos,i	kl,osi
gradonačelnik,a	grad,ona,č,eln,ika
razlog,e	raz,loge
nacrt,a	n,ac,r,ta
nasilje,m	n,asil,jem
cilj,evima	cil,jev,ima
bloger,i	blog,eri
zdravstven,og	zd,rav,st,ven,og
osiguravajući,m	os,igur,avaju,ć,im
raed,u	ra,edu
arafat,u	a,raf,atu
osnivač,u	os,n,iva,ču
podsekretar,a	pod,sek,ret,ara
miroljubiv,e	mi,rol,jub,ive
huligan,i	hul,ig,ani
stadion,ima	stadion,ima
zatvor,om	zat,vor,om
okupljen,ima	oku,pl,jen,ima
aerodrom,ima	a,er,od,rom,ima
automobil,e	aut,om,obile
rumun,i	r,um,uni
komentator,a	kom,ent,atora
arafat,a	a,raf,ata
nepovezan,i	ne,p,ove,z,ani
zahtev,i	z,ah,te,vi
kemal,a	k,em,ala
burkaj,a	bur,k,aja
egzil,a	eg,z,ila
aerodrom,u	a,er,od,rom,u
kritičar,a	krit,ič,ara
kurdistan,a	k,ur,dist,ana
kurdski,h	kur,d,skih
raširen,ih	raš,iren,ih
miroljubiv,u	mi,rol,jub,ivu
bozjelov,im	b,oz,jel,ov,im
mir,u	mir,u
miroljubiv,im	mi,rol,jub,iv,im
manjkav,a	man,jk,ava
taksim,u	t,aks,imu
kurd,ima	k,urd,ima
kurd,a	k,ur,da
realnost,i	real,nosti
vakuum,a	v,aku,uma
proces,om	pro,ces,om
vojvođanski,h	voj,vo,đ,anskih
mađar,a	ma,đ,ara
ujedinjen,u	uj,ed,inj,enu
zakon,e	zak,one
plav,a	pl,ava
crven,im	cr,ven,im
pruga,ma	pr,ug,ama
žut,e	ž,ute
državnost,i	dr,ž,av,nosti
dom,ovima	dom,ovima
organizovan,im	organiz,ov,anim
kriminal,om	k,riminal,om
benzinski,h	benz,ins,kih
gigant,a	g,ig,anta
let,ova	let,ova
star,om	star,om
terminal,u	terminal,u
parking,e	park,inge
putnik,e	put,nike
avionski,h	av,ions,kih
kabl,ova	k,abl,ova
izmir,u	iz,mir,u
dvostruk,im	dv,ost,ru,kim
rizik,om	riz,ikom
dvostruk,a	dv,ost,ru,ka
nered,e	ner,ede
trend,a	tr,enda
posledica,ma	pos,led,ic,ama
nedeljnik,u	ned,elj,niku
euleks,-a	e,ule,ks,-a
nemir,ima	nem,ir,ima
nered,ima	ner,ed,ima
nemir,a	nem,ira
rizik,a	riz,ika
uhapšen,ima	uh,ap,šen,ima
pregovarač,i	pre,gov,ara,či
naj,nov,ijih	naj,nov,ij,ih
admiral,om	ad,miral,om
heri,jem	her,ij,em
ulrih,om	ul,ri,hom
komandant,om	kom,and,antom
združen,ih	zd,ružen,ih
napulj,u	nap,ul,ju
šestočlan,e	š,esto,č,lane
frenk,a	f,ren,ka
vizner,a	v,iz,nera
volfgang,a	v,olf,gang,a
išinger,a	i,š,ing,era
razgovor,ima	raz,gov,or,ima
završen,im	zav,r,šen,im
loš,a	lo,ša
rukovodstvo,m	ru,kov,od,stvom
london,u	london,u
aspekt,e	as,pekte
slab,iji	sl,ab,iji
kurs,a	k,urs,a
dinar,a	din,ara
imenitelj,a	imen,itel,ja
radovan,a	rad,ov,ana
jelašić,a	j,ela,ši,ća
razlika,ma	raz,lik,ama
jelašićev,om	j,ela,šić,ev,om
proizvod,ima	pro,iz,vod,ima
obojen,i	ob,oj,eni
kamion,i	kam,ioni
porast,om	por,astom
jeftin,og	je,ft,in,og
devetocifren,e	dev,et,oc,if,rene
pismenost,i	p,ismen,osti
transparentnost,i	transparent,nosti
vladin,og	v,lad,in,og
kompjuterski,h	kom,p,jut,ers,kih
starosni,h	star,os,nih
čas,ovi	čas,ovi
vindovs,u	v,ind,ov,su
vord,u	v,ordu
eksel,u	e,ks,elu
osnov,e	os,n,ove
it,-a	it,-a
kompjuter,ima	kom,pj,uter,ima
kompjuter,u	kom,pj,uter,u
instruktor,e	in,strukt,ore
prostorija,ma	prost,or,ijama
unutrašnjost,i	unut,ra,šnj,osti
pristup,a	pr,ist,upa
ugovor,e	ug,ov,ore
udar,u	ud,aru
urađen,o	ura,đ,eno
provajder,a	prov,aj,dera
trud,a	tr,uda
čin,ovi	čin,ovi
prav,im	prav,im
islam,om	is,lam,om
motiv,e	mot,ive
okolnost,i	okol,nosti
neprihvatljiv,u	ne,pri,h,vat,lj,ivu
islam,a	isl,ama
nametanje,m	nam,etan,jem
nevin,ih	nev,ini,h
korist,i	kor,isti
nadzor,u	nad,z,oru
cerić,a	c,eri,ća
imam,ima	im,am,ima
cerićev,a	c,eri,će,va
praznik,a	p,raz,nika
čin,ove	čin,ove
čestit,im	č,est,itim
islamski,m	is,lam,skim
bošnjak,a	bo,šnj,aka
vernik,e	vern,ike
islam,u	is,lam,u
devijacija,ma	dev,ij,acij,ama
amerikanac,a	amer,ikan,aca
musliman,ima	mus,lim,an,ima
tražilac,a	tra,žil,aca
imigrant,i	im,igr,anti
sunarodnik,a	sun,arod,nika
tunis,a	t,un,isa
afrički,h	af,ri,čkih
azijski,h	az,ijskih
azilant,e	az,il,ante
zabrinut,o	z,ab,rin,uto
poznat,om	pozn,atom
sekretarijat,a	sek,ret,ari,jata
učenik,a	u,čen,ika
čas,ovima	čas,ovima
komesarijat,a	kom,es,ari,jata
neiskorišćen,e	ne,isk,ori,šć,ene
solidarnost,i	solid,arn,osti
protest,u	pro,test,u
zapaljiv,u	z,ap,al,j,ivu
okolnost,ima	okol,nost,ima
avganistan,a	av,gan,ist,ana
most,u	most,u
mešovit,a	me,š,ov,ita
kfor,-om	k,for,-,om
incident,a	inc,ident,a
miroljubiv,oj	mi,rol,jub,iv,oj
napetost,i	nap,et,osti
višemesečni,h	vi,šem,ese,čnih
sever,a	sever,a
kamion,a	kam,iona
punkt,a	punk,ta
izolovan,o	iz,ol,ov,ano
ninić,a	n,ini,ća
miroljubiv,o	mi,rol,jub,ivo
međuetnički,h	među,et,nič,kih
nerešen,a	n,ere,š,ena
strpljenje,m	str,pl,jen,jem
komitet,a	kom,iteta
svemir,a	sv,em,ira
telefon,i	tele,f,oni
bolnica,ma	bol,nic,ama
prunariju,a	pr,un,ari,j,ua
salcburg,u	sal,c,bur,gu
istraživač,a	ist,raž,iva,ča
slučaj,eve	sl,uč,aje,ve
naj,nov,iju	naj,nov,iju
poremećaj,a	por,eme,ć,aja
pacijentov,a	p,acij,ent,ova
naučnik,a	n,au,č,nika
primerak,a	primer,aka
nepoznat,a	ne,pozn,ata
inostranstvo,m	in,ost,ran,stvom
okvir,a	ok,vira
standard,e	stand,arde
ministrov,im	minist,rov,im
star,oj	star,oj
parivodićev,im	par,iv,odi,ć,ev,im
kreditor,a	k,red,itor,a
dug,ova	du,g,ova
ubrzavanje,m	ub,rz,avan,jem
miodrag,a	m,iod,raga
privatizovan,ih	pr,ivat,iz,ovan,ih
paket,a	pak,eta
tender,a	t,end,era
predviđen,im	pred,vi,đen,im
špediterski,h	š,ped,it,ers,kih
transportni,h	transport,nih
postkomunistički,h	post,kom,un,istič,kih
mesec,u	mese,cu
zrelost,i	z,rel,osti
stepen,u	step,enu
kapital,om	kap,ital,om
sastojak,a	s,asto,j,aka
resurs,e	res,urse
prenategnutost,i	pren,ateg,nut,osti
saveznik,e	save,zn,ike
strateški,m	strate,š,kim
obostran,oj	ob,ost,ran,oj
behtel,u	be,ht,elu
animozitet,i	anim,oz,itet,i
sam,ih	sam,ih
spor,om	spor,om
zaliv,a	zal,iva
kosorov,a	k,os,or,ova
arbitražni,m	ar,bit,raž,nim
upućivanje,m	upu,ć,ivan,jem
izgubljen,o	iz,g,ubl,jeno
prevazilaženje,m	prev,az,ila,žen,jem
zategnut,i	z,ateg,n,uti
osetljiv,oj	os,et,ljiv,oj
ivanov,a	ivan,ova
zamah,u	z,am,ahu
obrt,u	ob,rt,u
odvojen,u	od,voj,enu
počast,ima	po,čast,ima
sejdijuov,og	se,jd,iju,ov,og
portparol,a	port,par,ola
džavit,a	d,ž,av,ita
bećiri,ja	be,ć,ir,ija
narod,e	nar,ode
bojan,a	b,oj,ana
milković,a	mil,ković,a
ina,-e	in,a,-e
neosnovan,e	neos,nov,ane
mmf,-om	mm,f,-,om
zahtev,ima	z,ah,tev,ima
produžen,i	produ,ž,eni
investitor,e	in,vest,itore
resurs,ima	res,urs,ima
talas,u	tal,asu
blag,im	bl,ag,im
naj,bogat,ijih	naj,b,ogat,ij,ih
istorijski,h	istor,ijskih
sindikat,e	s,ind,ik,ate
industrijalac,a	indust,rij,al,aca
poreski,h	por,es,kih
paket,om	pak,et,om
aranžman,u	aran,ž,man,u
dug,ih	du,g,ih
jedinstven,om	jed,inst,ven,om
budžet,u	bud,ž,etu
sindikat,i	s,ind,ik,ati
jedinstven,oj	jed,inst,ven,oj
lek,ovi	lek,ovi
pdv,-a	pd,v,-a
jedinstven,a	jed,inst,vena
uticaj,a	ut,ic,aja
izdavač,a	iz,d,ava,ča
koncept,u	kon,cept,u
tim,ove	tim,ove
imunitet,a	im,unit,eta
bos,ovima	bos,ovima
tročlan,oj	tro,č,l,anoj
ubedljiv,og	ub,ed,ljiv,og
pobednik,a	p,ob,ed,nika
mafijaški,m	ma,f,ija,š,kim
plamen,om	pl,amen,om
galev,im	g,ale,vim
angel,om	angel,om
hristov,im	h,rist,ov,im
čuven,om	ču,ven,om
ozloglašen,i	oz,log,laš,eni
biznismen,i	b,iz,n,ism,eni
jugozapad,u	jug,oz,ap,adu
mafijaš,a	ma,f,ija,ša
šef,u	š,ef,u
firma,ma	f,irm,ama
biznismen,ima	b,iz,n,ismen,ima
zlatomir,u	z,lat,om,iru
petkov,a	pet,k,ova
čvrst,i	č,vr,sti
tvrdnja,ma	tv,rd,nj,ama
dans,-a	d,ans,-a
boris,u	bor,isu
velčev,u	vel,č,ev,u
petkov,u	pet,kov,u
cvetanov,a	c,vet,anova
tanov,a	t,anova
laž,ima	la,ž,ima
kleveta,ma	k,lev,et,ama
velčevljev,oj	vel,č,ev,lje,voj
optužba,ma	opt,už,b,ama
glasanje,m	gl,asan,jem
zbunjen,i	zb,un,jeni
hancesti,ju	h,anc,est,iju
kišinjev,a	k,iš,in,jeva
glasač,i	gl,asa,či
tabor,a	tab,ora
vidljiv,a	vid,lj,iva
monitoring,a	monitor,inga
komplikovan,o	kom,pl,ikov,ano
kanal,e	kan,ale
čist,i	č,isti
niz,om	niz,om
masačusets,a	m,asa,č,us,ets,a
nepravilnost,i	ne,prav,il,nosti
namešten,u	name,š,tenu
napet,o	nap,eto
širok,ih	š,iro,kih
prenos,a	pren,osa
ohr,-a	oh,r,-a
mir,a	mira
privremen,a	pr,ivre,mena
zvaničnik,e	z,van,ič,nike
prag,u	p,rag,u
osoblje,m	os,obl,jem
mostar,u	most,aru
grad,ova	grad,ova
